time,clock_time,speed,grade,vo2_kg,vo2,vco2,rer,rr,vt_btps,ve,br,peto2,petco2,hr,ve_vo2,ve_vco2,excess_co2
528,11:55:17,9.1,3.3,54.8,4278,4475,1.05,34,3708,125,29.6,103,39,187,29.2192613370734,27.932960893854748,206.07176250584416
530,11:55:19,9.4,3.3,52.7,4108,4328,1.05,34,3581,122.8,30.8,104,38,187,29.89289191820837,28.373382624768947,231.78188899707857
532,11:55:21,9.1,3.3,50.9,3970,4229,1.07,37,3231,118.2,33.4,104,38,188,29.773299748110833,27.94986994561362,275.896977329975
533,11:55:22,9.3,3.3,53.9,4207,4461,1.06,37,3389,126.3,28.8,104,38,188,30.021392916567624,28.312037659717554,269.33539339196614
535,11:55:24,9.1,3.3,52,4054,4285,1.06,34,3499,120,32.4,104,39,188,29.60039467192896,28.004667444574096,244.16255550074038
537,11:55:26,9.3,3.3,53.2,4150,4457,1.07,35,3599,126.3,28.9,104,39,189,30.433734939759034,28.337446713035675,329.71060240963834
538,11:55:27,9.1,3.3,50.7,3959,4315,1.09,37,3357,125.1,29.5,106,37,189,31.5988886082344,28.991888760139048,388.0121242738069
540,11:55:29,9.3,3.9,43.5,3391,3768,1.11,35,3089,107.8,39.3,107,36,190,31.79003243880861,28.609341825902337,418.913594809791
542,11:55:31,9.2,3.9,52.3,4080,4637,1.14,39,3308,128.9,27.4,105,38,190,31.59313725490196,27.798145352598667,633.0414215686278
543,11:55:32,9.1,3.9,57.6,4494,4776,1.06,38,3564,135.3,23.8,104,38,190,30.1068090787717,28.32914572864322,299.695594125501
545,11:55:34,9.3,3.9,52.7,4113,4445,1.08,39,3356,129.9,26.8,106,37,190,31.582786287381474,29.223847019122612,358.79893022125
546,11:55:35,9.1,3.9,52.9,4129,4489,1.09,37,3540,130.3,26.6,105,38,191,31.557277791232746,29.026509244820677,391.38774521675987
548,11:55:37,9.1,3.9,51.2,3997,4404,1.1,36,3451,124,30.2,106,38,191,31.02326745058794,28.15622161671208,448.44333249937426
550,11:55:39,9.1,3.9,52.4,4086,4424,1.08,37,3439,126.6,28.7,104,38,191,30.983847283406753,28.61663652802893,365.95986294664726
551,11:55:40,9.3,3.9,49.1,3833,4258,1.11,37,3292,122.7,30.9,105,38,191,32.01147925906601,28.81634570220761,472.1236629272107
560,11:55:49,9.3,4.2,50.7,3958,4295,1.08,37,3308,122.5,31,105,38,191,30.949974734714502,28.52153667054715,365.69353208691246
562,11:55:51,9.2,4.2,51.4,4013,4326,1.08,34,3499,120.7,32,105,38,191,30.07724894094194,27.90106333795654,337.412908048841
563,11:55:52,9.2,4.2,53.7,4193,4487,1.07,34,3671,126.6,28.7,104,38,191,30.193179108037207,28.21484287942946,314.6143572621031
565,11:55:54,9.2,4.2,55,4292,4583,1.07,36,3659,129.9,26.8,104,39,191,30.265610438024233,28.343879554876718,310.7299627213424
567,11:55:56,9.2,4.2,56.6,4412,4724,1.07,34,3887,131,26.2,104,39,191,29.69174977334542,27.7307366638442,334.0634632819583
568,11:55:57,8.9,4.2,53.7,4191,4553,1.09,38,3466,133.3,24.9,106,37,191,31.806251491290862,29.27739951680211,393.26795514197056
570,11:55:59,9.1,4.2,53.5,4172,4597,1.1,38,3470,133.5,24.8,106,38,192,31.999041227229146,29.040678703502284,468.29458293384505
571,11:56:00,9.2,4.7,55.7,4347,4908,1.13,41,3498,141.8,20.1,106,37,191,32.620197837589146,28.89160554197229,633.3995859213246
573,11:56:02,9.2,4.7,47,3667,4356,1.19,48,2874,136.8,22.9,110,34,191,37.30569948186529,31.404958677685954,818.4575947641124
574,11:56:03,9.2,4.7,55.5,4332,4953,1.14,49,3068,149.7,15.7,108,36,192,34.556786703601105,30.224106602059354,710.0214681440448
