t,rf,vt,ve,vo2_abs,vco2_abs,rer,vo2_rel,hr,pet_o2,pet_co2,phase,power,stage
560,22.99,2.432,55.908,2.4885041225,1.8984215733999998,0.76,24.84,119,101,38,EXERCISE,130,2
563,21.51,1.991,42.817,1.8215290930999999,1.3884339928,0.76,18.18,120,101,38,EXERCISE,130,2
566,26.09,1.944,50.713,2.2643681039,1.7015456751,0.75,22.6,119,100,39,EXERCISE,130,2
567,26.55,2.024,53.735,2.3059665501,1.7136619100000001,0.74,23.01,119,102,37,EXERCISE,130,2
570,24.29,1.8,43.725,1.9538689004,1.4728271287,0.75,19.5,119,100,38,EXERCISE,130,2
572,23.72,2.195,52.055,2.3764393690000003,1.7604997108,0.74,23.72,120,99,39,EXERCISE,130,2
575,27.4,2.23,61.096,2.6823677097,1.9559301493,0.73,26.77,121,100,38,EXERCISE,130,2
579,15.83,2.025,32.058,1.5032929563,1.0921194295,0.73,15,118,93,41,EXERCISE,130,2
580,28.99,2.313,67.043,3.2626553206,2.3183566347,0.71,32.56,118,97,39,EXERCISE,130,2
583,25.42,2.25,57.203,2.5155340188,1.8587174287000001,0.74,25.11,120,101,38,EXERCISE,130,2
586,25.75,2.242,57.734,2.355418205,1.7686436134,0.75,23.51,122,103,37,EXERCISE,130,2
587,26.32,2.356,62,2.6109627098,1.9780680618,0.76,26.06,121,103,37,EXERCISE,130,2
590,27.4,2.166,59.342,2.3647539173,1.8129930936,0.77,23.6,119,103,37,EXERCISE,130,2
593,24.29,2.115,51.377,2.1929744274,1.6993451612,0.77,21.89,118,101,38,EXERCISE,130,2
594,23.44,1.807,42.352,1.8503568545,1.425444765,0.77,18.47,118,101,38,EXERCISE,130,2
597,28.44,1.92,54.597,2.445988865,1.8814599372,0.77,24.41,119,100,39,EXERCISE,130,2
